id,name,position,returning,matchMethod,totalPPA,passingPPA,receivingAttributedPPA,rushingPPA,sourceTotalPPAPass,sourceTotalPPARush
4587702,Christian Leary,WR,False,,5.19,,5.708,-0.518,5.708,-0.518
4597248,Tailique Williams,WR,False,,21.271,,16.193,5.078,16.193,5.078
4683561,Mareyohn Hrabowski,TE,False,,2.004,,2.004,0.0,2.004,0.0
4710744,Malique Dieudonne,WR,False,,0.436,,0.436,0.0,0.436,0.0
4876662,Michael Brescia,TE,False,,9.485,,11.154,-1.669,11.154,-1.669
4880181,Cade Conley,TE,False,,1.007,,1.007,0.0,1.007,0.0
4880449,Blake Bosma,TE,False,,11.281,,11.281,0.0,11.281,0.0
4917858,Cole Cabana,RB,True,id,-0.226,,0.0,-0.226,0.0,-0.226
5074245,Broc Lowry,QB,True,id,87.224,33.546,,53.829,33.546,53.829
5075962,Baylin Brooks,WR,True,id,19.903,,19.903,0.0,19.903,0.0
5085006,Jalen Buckley,RB,True,id,33.378,,-3.34,36.718,-3.34,36.718
5086095,Terence Marshall,WR,True,id,-2.684,,-2.684,0.0,-2.684,0.0
5144956,Ryan Brotherton,TE,True,id,-2.786,,-1.034,-1.752,-1.034,-1.752
5164351,Aveion Chenault,WR,True,id,11.639,,10.441,1.198,10.441,1.198
5296162,Devin Miles,RB,False,,-4.289,,-4.784,0.495,-4.784,0.495
5296163,Brady Jones,QB,False,,-8.695,-3.407,,-4.613,-3.407,-4.613
5296166,Ofa Mataele,RB,True,id,-2.511,,-3.432,0.92,-3.432,0.92
