model,n,mae,rmse,median_ae,winner_pct,brier,log_loss,seasons
Model 0.A: raw scoring margin (Y-1),326,15.90920086765323,20.00934791451252,13.648309645865524,71.47239263803681,0.1932439259707492,0.5730670299186615,2018-2025 (n=7)
"Model 0.B: opponent-adjusted SRS (Y-1, existing repo metric)",326,13.715914839428448,17.65825180270443,10.65352740515239,75.15337423312883,0.16651882030586967,0.5044448555405203,2018-2025 (n=7)
"Model 0.C: opponent-adjusted power, single year (Y-1)",326,13.71591484482739,17.65825181126694,10.653527367021997,75.15337423312883,0.16651882039029492,0.5044448558325932,2018-2025 (n=7)
Model 1: 3-year decay-weighted power (ridge-fit weights),316,13.383193440448293,17.179575405491814,10.936553733055232,76.89873417721519,0.16529255265336862,0.5111338495089969,2018-2025 (n=7)
Model 2: + program 5yr avg (regress to program mean),316,13.79144791177018,17.6201270333313,11.375165473555906,75.31645569620254,0.17329455667964538,0.5422631029709044,2018-2025 (n=7)
Model 2: + conference avg (regress to conference mean),316,13.380486446850282,17.038017868308323,11.05343338818701,76.58227848101266,0.16403761365742622,0.5054257732040357,2018-2025 (n=7)
Model 3: + recruiting (3yr class avg),316,12.921529956585562,16.572034784155495,10.145083072620668,78.48101265822785,0.15991175122636314,0.4882403342565232,2018-2025 (n=7)
Model 4: + returning offense production share,312,13.028416462946735,16.83735114434847,10.433340084635075,75.32051282051282,0.16533386784358245,0.5131182355492776,2018-2025 (n=7)
Model 4: + returning defense production share,312,13.239661857785013,17.025090337234396,10.90078220766821,77.24358974358974,0.16512916838194924,0.5115374112385921,2018-2025 (n=7)
Model 5: + QB returning flag,312,12.938406321603434,16.822199290326054,9.632263202378912,76.6025641025641,0.1627552838850905,0.5028922829438194,2018-2025 (n=7)
RECOMMENDED: 3yr power + recruiting_3yr + QB returning flag,312,12.455809463938479,16.18287936137056,9.696446562716023,77.88461538461539,0.15742340636768384,0.48248691690078943,2018-2025 (n=7)
+ also adding returning off/def shares (no further gain),312,12.502196509543845,16.183255199108306,10.12347163399063,77.24358974358974,0.1595709791368607,0.48669784930011456,2018-2025 (n=7)
Model 6: BASE on portal-comparable seasons only,180,13.148841992110103,17.03104089776654,10.49701182924257,76.66666666666667,0.15953025016422615,0.48235828736633535,2022-2025 (n=4)
"Model 6: + portal net production (offense+defense) -- WORSE, excluded",180,14.168026383643882,17.853263025591513,11.798961368955663,73.88888888888889,0.16758927482757227,0.498999474112649,2022-2025 (n=4)
